NAME	DESCRIPTION	SK_MEL_301T	SK_MEL_311AT	SK_MEL_321AT	SK_MEL_337T	SK_MEL_351T	SK_MEL_363T	SK_MEL_381T	SK_MEL_389	SK_MEL_394T	SK_MEL_398T	SK_MEL_430T	SK_MEL_445T	SK_MEL_455T	SK_MEL_539T	SK_MEL_499	SK_MEL_526T	SK_MEL_540	SK_MEL_551AT	SK_MEL_560_2T	SK_MEL_566_1	SK_MEL_574	SK_MEL_581_1T	SK_MEL_598_1T	SK_MEL_641_1
ZNF609	ZNF609	3.84757	5.29582	7.43001	7.49202	3.04778	5.50535	3.98444	3.01809	5.03979	6.66767	4.96034	6.77884	9.39164	10.1689	5.61447	6.99611	6.6892	5.13434	9.64418	7.68044	7.81613	3.69644	5.25222	10.3287
ZNF610	ZNF610	2.7347	1.546	0.90258	0.312018	1.81967	2.89157	0.421636	0.190953	0.79088	0.30964	0.793263	0.526224	3.85243	2.70271	0.938594	0.430332	3.34685	1.53073	2.21816	0.746873	0.831248	1.82405	0.438279	1.17703
ZNF611	ZNF611	3.60563	2.53168	2.44772	2.80352	1.74257	2.71097	2.81226	1.87446	2.5231	3.72465	3.45334	1.78083	4.91218	3.05207	3.48282	1.11802	1.93501	3.13364	4.39768	1.83996	1.47688	1.75305	2.37653	3.957
ZNF613	ZNF613	2.31921	1.73477	1.94116	1.11764	1.83992	2.43959	1.09658	1.31779	1.775	3.75942	2.07195	0.991997	2.17135	1.50985	2.59166	1.54751	3.11756	2.50915	2.2868	2.40776	1.62314	1.63458	1.78325	2.55429
ZNF614	ZNF614	2.72039	2.25099	2.20955	2.43216	2.12124	1.48279	0.881637	1.41728	1.87099	3.3005	1.81178	1.87008	3.45435	1.93662	2.38623	1.02277	3.17315	1.92001	2.34024	2.6149	1.30338	0.886809	1.98971	3.73457
ZNF615	ZNF615	2.54439	1.39818	1.9922	2.94147	2.20605	1.72004	1.16926	1.81218	2.04863	3.81072	2.24787	2.1884	2.28457	1.72132	2.19273	1.1769	3.33449	1.97499	1.96469	2.09414	1.30264	1.03342	2.56079	2.57524
ZNF616	ZNF616	2.68564	2.14885	2.78888	2.6554	4.15716	2.86146	1.15952	3.2024	2.16236	4.325	2.20833	3.40769	3.81518	3.82443	2.20033	2.09427	3.47957	2.90459	4.04937	3.65202	1.81214	2.21082	2.05094	4.72965
ZNF618	ZNF618	4.84789	1.99597	6.2737	8.34222	4.36105	5.11699	8.68543	3.23398	2.16479	2.81969	0.94272	8.91705	5.36223	8.81197	3.43451	4.78393	7.00236	4.64779	0.632448	4.35595	3.27573	3.1997	4.22593	8.9588
ZNF619	ZNF619	0.598578	0.906427	1.25061	1.61245	0.821922	1.60539	1.94828	1.48789	1.19929	1.97441	1.43247	0.942735	2.13459	1.55551	1.1424	1.57391	1.09673	2.11203	1.3562	1.81909	1.59194	1.51598	1.37472	2.51933
ZNF620	ZNF620	3.26957	0.484504	0.404916	1.15952	0.462324	0.332221	1.42005	0.241261	0.641135	0.318232	0.818592	1.45961	2.78668	0.626301	1.05705	0.975735	0.342174	0.78121	1.41045	0.210347	2.66549	1.34415	1.00002	0.546186
ZNF621	ZNF621	2.19031	1.54171	3.78894	5.98928	1.69512	2.94886	3.18903	2.36545	1.30921	4.63852	2.19434	2.60011	5.20923	5.78485	3.0669	2.42854	2.72758	3.33916	4.14471	5.85848	4.46715	2.77644	3.624	4.70057
ZNF622	ZNF622	19.5869	15.6797	15.7851	17.0481	11.9028	18.4098	17.4133	21.2297	16.4037	13.839	15.697	13.2207	21.3344	11.3319	14.9011	18.2196	16.6033	18.7628	53.3536	28.8216	19.2116	29.7655	30.8214	16.7174
ZNF623	ZNF623	4.78485	5.31695	5.07765	6.98476	4.23798	12.2021	4.71065	5.4262	3.39971	6.30779	4.01209	3.33544	8.30633	10.7647	3.78598	5.15025	7.97311	5.48352	3.56279	7.87475	3.58512	3.18522	3.80121	21.9608
ZNF624	ZNF624	2.03677	1.02463	0.714932	1.29062	0.820179	0.736856	2.57576	1.82882	1.19314	1.86031	1.23322	1.25818	1.21412	2.11583	1.51069	0.948118	1.89982	1.86108	0.60045	2.31685	1.33955	1.20811	1.15018	3.07092
